rpm;T;Q;P;CT;CQ;CP
998;4.173326991183552;0.1568541765227669;16.39492885915752;0.0300551718328717;0.0014120266750169;0.0088720252578118
999;4.18243835119744;0.1571720903608294;16.44461936883797;0.0300605176829494;0.0014120573947626;0.008872218275667
1000;4.19155941937332;0.1574903182066439;16.49440935748673;0.0300658516861482;0.0014120879830904;0.0088724104677986
1001;4.200690195704217;0.1578088600635956;16.544298924119484;0.0300711738813819;0.0014121184406338;0.008872601838188
1002;4.209830680148128;0.1581277159350671;16.59428816775302;0.0300764843071452;0.0014121487680231;0.0088727923907947
1003;4.218980872783159;0.1584468858253256;16.644377187498538;0.0300817830026231;0.0014121789658928;0.0088729821296059
1004;4.22814077354569;0.1587663697371785;16.69456608231545;0.0300870700058201;0.001412209034861;0.008873171058505
1005;4.237310382469195;0.1590861676745183;16.744854951278608;0.0300923453552671;0.001412238975552;0.008873359181415
1006;4.246489699602268;0.1594062796415105;16.795243893493254;0.0300976090894349;0.0014122687885892;0.0088735465022524
1007;4.255678724901481;0.1597267056409836;16.845733007925332;0.0301028612459754;0.0014122984745807;0.0088737330248379
1008;4.26487745844217;0.1600474456772726;16.896322393701066;0.0301081018632177;0.0014123280341445;0.0088739187530546
1009;4.274085900139697;0.1603684997530803;16.94701214977596;0.0301133309781965;0.0014123574678808;0.0088741036906744
1010;4.283304050033636;0.1606898678723836;16.997802375241466;0.0301185486286622;0.001412386776398;0.0088742878415188
1011;4.292531908162746;0.1610115500387583;17.048693169148212;0.0301237548521963;0.0014124159602973;0.0088744712093661
1012;4.301769474509469;0.1613335462554115;17.099684630509245;0.030128949685823;0.0014124450201736;0.0088746537979539
1013;4.311016749119548;0.161655856526457;17.15077685843516;0.0301341331668505;0.0014124739566264;0.0088748356110493
1014;4.320273731921079;0.1619784808545462;17.201969951882962;0.0301393053316048;0.0014125027702393;0.0088750166523184
1015;4.32954042301117;0.162301419243776;17.25326400996443;0.0301444662174351;0.0014125314616051;0.0088751969254866
1016;4.338816822369806;0.1626246716976722;17.3046591317323;0.0301496158607139;0.0014125600313087;0.0088753764342279
1017;4.34810292991382;0.1629482382186888;17.3561554161266;0.0301547542972208;0.0014125884799221;0.0088755551821379
1018;4.357398745776372;0.1632721188112479;17.407752962298247;0.030159881564082;0.0014126168080317;0.0088757331728997
1019;4.36670426990962;0.1635963134785246;17.459451869266903;0.0301649976970112;0.0014126450162096;0.0088759104101086
